	ID_TWEET	DATATIME	LATITUDE	LONGITUDE	cluster
522	715623725190815745	2016-03-31 16:36:06	-49.28739334	-25.44338773	2
526	715623174273110016	2016-03-31 16:33:55	-49.26180477	-25.42684494	2
527	715622942101610496	2016-03-31 16:32:59	-49.25	-25.4167	1
534	715622325543157760	2016-03-31 16:30:32	-49.2803879	-25.43785591	2
535	715622052946911232	2016-03-31 16:29:27	-49.2734937	-25.43526076	2
536	715622004527800320	2016-03-31 16:29:16	-49.2767	-25.44	2
537	715621937876242433	2016-03-31 16:29:00	-49.25	-25.4167	1
538	715621687593668613	2016-03-31 16:28:00	-49.28780429	-25.44419818	2
539	715621079343964161	2016-03-31 16:25:35	-49.25	-25.4167	1
540	715621028815368193	2016-03-31 16:25:23	-49.2851715	-25.4353714	2
541	715620885999312897	2016-03-31 16:24:49	-49.26645041	-25.42372212	2
542	715620802532474880	2016-03-31 16:24:29	-49.25	-25.4167	1
545	715619616584761344	2016-03-31 16:19:46	-49.26768422	-25.43364894	2
547	715618930639904768	2016-03-31 16:17:03	-49.26968	-25.4282608	2
550	715617877311754242	2016-03-31 16:12:52	-49.27881539	-25.43499087	2
552	715617338549207040	2016-03-31 16:10:43	-49.277436	-25.440988	2
553	715617102078418944	2016-03-31 16:09:47	-49.2867804	-25.44265881	2
555	715616366993268737	2016-03-31 16:06:52	-49.25	-25.4167	1
556	715615625712951296	2016-03-31 16:03:55	-49.26851773	-25.44033206	2
558	715615143711924224	2016-03-31 16:02:00	-49.26836014	-25.43030262	2
559	715615066205384706	2016-03-31 16:01:41	-49.26401384	-25.50836028	15
564	715614145094238208	2016-03-31 15:58:02	-49.28397898	-25.43823683	2
565	715613790910418944	2016-03-31 15:56:37	-49.25	-25.4167	1
568	715612808805818368	2016-03-31 15:52:43	-49.26721602	-25.43034909	2
578	715610548054794240	2016-03-31 15:43:44	-49.26731946	-25.43598504	2
579	715610528442228736	2016-03-31 15:43:40	-49.2767	-25.44	2
582	715609550636711936	2016-03-31 15:39:46	-49.28633867	-25.44984476	2
583	715609423746625536	2016-03-31 15:39:16	-49.27692175	-25.44819615	2
584	715609289981702145	2016-03-31 15:38:44	-49.2867804	-25.44265881	2
585	715609257115271168	2016-03-31 15:38:36	-49.25	-25.4167	1
587	715608590682206208	2016-03-31 15:35:58	-49.27354128	-25.43592691	2
588	715608362285723649	2016-03-31 15:35:03	-49.28561096	-25.4355892	2
593	715607857765490689	2016-03-31 15:33:03	-49.26733017	-25.43814941	2
594	715607605201268736	2016-03-31 15:32:03	-49.208465	-25.4072175	18
596	715607492668047361	2016-03-31 15:31:36	-49.27692175	-25.44819615	2
598	715607114832551936	2016-03-31 15:30:06	-49.25	-25.4167	1
600	715606540510691331	2016-03-31 15:27:49	-49.27217059	-25.43228743	2
601	715605980864716800	2016-03-31 15:25:35	-49.20856832	-25.40715898	18
605	715604970062659584	2016-03-31 15:21:34	-49.20857625	-25.4071675	18
606	715604863309201408	2016-03-31 15:21:09	-49.208465	-25.4072175	18
607	715604736578347008	2016-03-31 15:20:39	-49.208465	-25.4072175	18
609	715604423452573696	2016-03-31 15:19:24	-49.20854729	-25.40720168	18
610	715604341869166592	2016-03-31 15:19:05	-49.20854729	-25.40720168	18
611	715604242657107969	2016-03-31 15:18:41	-49.20854729	-25.40720168	18
612	715604079192444928	2016-03-31 15:18:02	-49.20857625	-25.4071675	18
614	715603813789347841	2016-03-31 15:16:59	-49.25	-25.4167	1
615	715603737562230784	2016-03-31 15:16:40	-49.20857625	-25.4071675	18
616	715603657975312384	2016-03-31 15:16:21	-49.20857625	-25.4071675	18
617	715603545857396738	2016-03-31 15:15:55	-49.2085926	-25.40716902	18
618	715603439040995328	2016-03-31 15:15:29	-49.2085926	-25.40716902	18
623	715602709274038272	2016-03-31 15:12:35	-49.26578522	-25.42784992	2
627	715601197814706178	2016-03-31 15:06:35	-49.26300918	-25.42795135	2
628	715600912539119616	2016-03-31 15:05:27	-49.25	-25.4167	1
630	715600502831058944	2016-03-31 15:03:49	-49.27191138	-25.42976842	2
632	715600231778410496	2016-03-31 15:02:45	-49.2733	-25.4284	2
636	715599688330817536	2016-03-31 15:00:35	-49.2839128	-25.44961444	2
637	715599544327602176	2016-03-31 15:00:01	-49.25	-25.4167	1
638	715598980189593601	2016-03-31 14:57:46	-49.2742	-25.42397	2
641	715598018964275202	2016-03-31 14:53:57	-49.26952249	-25.42952229	2
644	715596986708336640	2016-03-31 14:49:51	-49.295286	-25.4399612	19
645	715596970933493762	2016-03-31 14:49:47	-49.28101712	-25.43938821	2
646	715596961181798401	2016-03-31 14:49:45	-49.27897207	-25.4440025	2
647	715596729110831104	2016-03-31 14:48:50	-49.25	-25.4167	1
648	715596314524913665	2016-03-31 14:47:11	-49.277436	-25.440988	2
650	715595603368087553	2016-03-31 14:44:21	-49.25	-25.4167	1
651	715595428977180672	2016-03-31 14:43:40	-49.2767	-25.44	2
652	715595284886241282	2016-03-31 14:43:05	-49.27047372	-25.42328608	2
653	715595124319920129	2016-03-31 14:42:27	-49.27974434	-25.44805863	2
656	715593779139387392	2016-03-31 14:37:06	-49.2918129	-25.44697	19
